Pathway	0010_07-09-16	0354_01-10-17	0677_08-19-17	0904_07-10-17	0963_05-23-17	1203_01-23-17	1320_03-23-16	1593_09-12-17	1709_09-19-17	1894_04-24-18	1985_06-07-16	2045_08-21-17	2409_08-02-16	2651_11-22-16	3227_08-15-17	3315_06-07-16	3321_03-08-16	3329_11-01-16	3369_08-07-18	3545_12-13-16	3660_09-20-16	3836_02-27-17	3898_12-27-16	3899_06-13-18	3921_07-18-17	3955_08-25-17	4018_01-05-16	4100_01-03-17	4374_02-28-17	4471_01-03-17	4489_11-17-15	4546_04-26-16	4582_05-23-17	4657_08-23-16	4759_08-16-16	4913_03-07-17	4954_11-23-16	5160_07-19-16	5287_10-19-16	5338_08-04-17	5432_01-27-16	5600_07-10-17	5702_04-26-16	5890_09-27-16	5913_01-24-17	5975_07-18-17	6037_07-10-18	6070_08-30-17	6100_12-27-16	6673_12-07-16	6753_10-30-18	6995_03-15-16	7005_02-14-18	7551_11-02-16	7660_05-01-18	7768_08-15-17	7786_11-08-16	7953_05-15-18	8012_12-09-15	8118_02-09-16	8120_05-22-18	8158_04-12-16	8186_11-22-16	8344_05-02-17	8507_05-03-16	8633_04-19-16	9059_02-02-16	9120_02-09-16	9176_03-29-16	9190_03-14-18	9371_10-16-18	9591_03-14-17
PWY-7234: inosine-5'-phosphate biosynthesis III	0	339.919	9.35934	0	0	0	82.6287	0	0	0	509.487	24.4042	0	61.0978	111.408	0	221.454	560.729	175.444	0	14.855	63.29	407.54	52.2215	160.96	6.42905	63.5652	74.8186	147.957	398.801	195.66	12.7432	25.7494	151.448	87.7413	276.424	524.975	188.698	0	0	380.349	44.1827	28.5849	168.366	84.3047	137.445	13.148	90.4224	0	9.02614	401.482	250.893	119.777	0	695.178	0	0	402.641	253.233	26.8257	193.387	731.512	106.424	0	57.4818	0	115.947	36.8766	0	0	8.4619	474.283
PWY-7235: superpathway of ubiquinol-6 biosynthesis (late decarboxylation)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.8564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.7436	0	0	0	0	0	0	45.4201	0	50.5019	0	69.3249	0	0	0	26.9629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.3528
"PWY-7237: myo-, chiro- and scyllo-inositol degradation"	0	0	373.808	0	0	0	65.9406	0	0	0	1083.15	316.852	0	0	140.701	0	0	0	0	0	0	0	86.767	179.751	0	0	395.13	0	341.742	0	0	380.68	191.641	0	0	505.155	695.003	0	0	151.489	124.863	301.99	0	0	425.78	159.198	1249.07	0	0	308.46	31.4524	291.804	304.434	409.798	0	0	0	0	380.458	726.675	338.336	0	371.635	0	188.61	0	179.726	188.301	0	0	213.141	122.87
PWY-7242: D-fructuronate degradation	0	197.555	74.1107	0	0	0	105.174	46.697	27.5646	0	661.449	80.8694	0	100.299	72.2045	16.1331	47.0186	0	146.466	3.09361	0	62.6987	16.8379	21.9578	46.5004	15.0927	123.62	102.506	93.6962	0	80.2185	142.555	37.2804	0	149.602	27.8653	416.423	228.135	0	261.693	34.0013	60.0879	104.471	5.24664	50.6567	78.7103	7.74745	0	3.48418	92.9543	17.4569	29.3979	39.4852	130.252	0	48.584	0	93.3068	0	12.1596	54.0578	13.6061	81.7042	51.2869	128.753	97.3122	96.0528	58.5841	0	78.6847	5.50111	30.0477
PWY-7245: superpathway of NAD/NADP - NADH/NADPH interconversion (yeast)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.12846	0	0	0	9.13231	2.92147	0	0	0	0	0	88.3359	27.821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.3802
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II"	0	317.581	493.196	263.632	239.896	150.495	380.285	384.225	219.446	0	180.611	350.366	0	343.923	417.22	171.879	134.094	106.682	342.868	9.49128	128.516	367.068	358.579	234.736	403.628	387.544	335.657	306.447	302.727	0	260.613	414.191	381.024	0	323.574	345.972	218.257	395.408	0	609.418	325.384	374.938	506.119	104.073	404.489	404.051	139.763	110.27	0	428.46	250.196	330.818	311.107	398.755	598.043	402.854	0	650.096	0	32.7256	293.347	445.776	353.598	387.616	375.697	350.841	359.52	412.328	0	344.459	334.854	399.996
PWY-7254: TCA cycle VII (acetate-producers)	0	0	0	0	0	0	47.9623	0	0	0	0	0	0	53.8888	18.482	0	0	0	3.16381	0	0	0	15.6074	0	0	3.03392	0	81.4215	101.529	0	145.291	0	0	0	0	332.597	0	129.703	0	0	28.985	2.75461	21.7974	0	46.7499	9.76541	0	9.21162	0	0	0	93.294	96.0766	0	0	0	0	0	0	0	0	0	105.918	0	0	0	47.6546	0	0	0	0	52.6517
PWY-7268: cytosolic NADPH production (yeast)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.56299	0	0	0	24.182	68.167	0	0	0	0	0	87.2217	63.4057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.4335
PWY-7269: mitochondrial NADPH production (yeast)	0	0	0	0	0	0	9.92667	0	0	0	0	0	0	14.645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148.488	0	38.5385	0	0	5.5157	3.34648	0	0	16.4774	50.1908	0	0	0	0	0	151.24	46.5288	0	0	0	0	0	0	0	0	0	0	0	0	0	61.2986	0	0	0	0	63.4918
PWY-7279: aerobic respiration II (cytochrome c) (yeast)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7948	0	8.53274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.86902	0	0	34.0285	0	0	4.41534	6.64584	0	0	0	135.098	0	0	0	0	0	0	0	0	0	41.5804	0	0	0	0	0	0	0	0	0	98.7973
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	0	0	0	357.818	0	73.0292	163.09	229.038	202.255	0	433.846	235.077	0	162.534	195.075	51.7131	0	0	217.256	0	0	284.98	170.995	168.379	170.097	198.431	214.723	146.259	228.767	0	212.548	98.9514	230.671	0	198.172	339.562	133.156	207.883	0	214.125	192.103	240.251	82.3711	6.29581	205.244	192.428	68.2589	49.4078	6.4804	129.053	84.1608	176.974	190.814	265.621	8.28295	94.5175	0	0	0	423.1	184.428	166.667	339.622	6.55136	125.249	294.156	274.499	323.106	0	293.338	162.859	92.3938
PWY-7283: wybutosine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.8269
PWY-7286: 7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	0	0	0	0	0	0	1.10559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.1189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.2696
PWY-7288: fatty acid &beta;-oxidation VII (yeast peroxisome)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.920796	0	0	10.2465	0	0	0	0	0	0	0	21.7792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.29807
PWY-7294: D-xylose degradation IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5435	0	0	0	0	0	0	0	0	0	21.992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7312: dTDP-&beta;-D-fucofuranose biosynthesis	0	0	0	0	181.246	0	71.1451	141.595	42.3897	0	0	0	0	252.302	131.479	0	0	0	0	0	0	0	15.311	0	48.1896	139.929	0	151.765	0	0	0	0	0	0	470.852	0	0	0	0	570.741	0	56.8387	0	0	0	0	0	0	0	162.346	0	0	7.84804	0	0	0	0	0	0	0	1.73776	0	0	0	0	0	0	0	0	132.755	0	0
PWY-7315: dTDP-N-acetylthomosamine biosynthesis	0	0	4.22613	0	0	0	10.5595	11.3952	0	0	0	3.90398	0	36.2162	5.01246	0	0	0	0	0	0	5.25328	0	0	0	19.743	0	7.00868	20.6096	0	36.2052	0	11.6235	0	0	180.399	0	278.436	0	0	0	76.2745	47.9432	20.3018	64.4621	1.47098	0	0	0	0	0	0	39.675	0	0	0	0	0	0	0	0	0	15.9577	0	0	0	58.6042	0	0	44.5987	0	7.61369
PWY-7316: dTDP-N-acetylviosamine biosynthesis	0	0	0	121.983	0	0	1.02028	0	0	0	0	0	0	19.6079	2.88187	0	0	0	0	0	0	20.2688	0	57.3328	0	48.9163	0	0	1.41368	0	2.47925	132.934	0	0	0	0	0	252.31	0	0	0	34.8327	9.57703	0	20.8164	0	0	0	0	0	0	0	13.6353	210.874	0	0	0	0	0	27.9385	0	0	0	653.779	0	0	0	10.3819	0	40.7618	0	0
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	0	0	124.651	0	0	0	59.2396	116.823	115.033	0	3.69142	148.048	0	110.394	144.467	0	0	0	65.0884	0	45.8066	47.9528	6.95431	106.919	89.3602	16.939	21.1658	112.579	106.842	0	179.479	0	41.2434	0	20.3525	0	0	136.704	0	42.7548	54.8558	99.7883	98.3524	28.5526	60.3308	69.0293	43.3216	10.8455	0	113.869	0	0	84.6136	181.928	6.62846	92.344	0	0	0	19.2481	53.6634	14.3378	217.241	5.70421	0	134.546	89.1307	110.588	0	45.2497	4.1379	25.6825
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	0	0	0	0	0	67.1138	24.7989	0	0	0	0	7.23712	0	38.3652	9.98027	0	0	0	56.0548	0	7.6451	0	98.5633	0	0	26.4832	26.4713	48.0195	64.2203	0	106.977	8.18588	0	0	0	8.42265	0	105.663	0	2.36385	95.3191	103.556	20.5698	16.9795	93.88	5.53463	10.1515	45.2472	0	0	40.9337	89.4396	112.436	83.0113	0	86.5925	0	0	0	0	0	193.554	109.404	0	0	0	66.6948	42.6108	0	4.73592	0	150.28
PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis	0	0	0	0	0	0	52.1346	58.2506	0	0	0	0	0	96.9707	0	0	0	0	0	0	0	41.8268	27.9796	0	47.7086	17.8242	0	106.522	77.623	0	0	0	66.5458	0	104.629	0	0	131.841	0	69.0695	0	79.6509	0	0	0	0	0	0	0	0	0	0	38.41	150.41	0	0	0	0	0	0	0	0	0	20.4533	0	0	0	0	0	19.3872	0	0
PWY-7337: 10-cis-heptadecenoyl-CoA degradation (yeast)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.867006	0	0	11.9127	0	0	0	0	0	0	0	20.6489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.77324
"PWY-7338: 10-trans-heptadecenoyl-CoA degradation (reductase-dependent, yeast)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.867006	0	0	11.9127	0	0	0	0	0	0	0	20.6489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.77324
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	0	250.952	385.2	94.3604	0	68.1677	160.025	198.629	190.073	0	545.017	243.012	0	136.732	168.257	48.5295	210.935	550.096	210.792	0	10.9914	258.076	183.329	142.174	191.959	181.827	229.252	153.277	205.28	0	209.934	365.118	206.597	261.497	179.838	329.039	504.956	209.825	0	242.086	175.647	244.574	406.347	7.68733	279.691	327.365	46.9677	69.0886	5.73669	188.543	398.758	245.918	191.154	262.629	908.341	298.08	0	532.482	0	543.79	136.52	345.449	303.73	107.844	287.25	316.058	309.44	269.344	0	275.202	162.139	167.74
"PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II"	0	0	0	0	0	0	0	0	0	0	6.26902	0	0	0	0	0	0	0	18.4528	0	0	0	0	0	0	0	0	3.66118	0	0	26.2913	90.2202	0	0	0	15.3797	0	0	0	0	15.1411	0	31.5268	0	0	54.4261	0	7.36515	0	0	0	0	0	0	0	0	0	0	0	0	6.23197	0	0	0	0	0	0	11.1806	0	0	0	2.45554
PWY-7373: superpathway of demethylmenaquinol-6 biosynthesis II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.46805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.85874
"PWY-7374: 1,4-dihydroxy-6-naphthoate biosynthesis I"	0	0	0	0	0	0	0	0	0	0	6.1974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)"	0	0	52.7963	0	0	0	108.862	91.6116	0	0	3.62151	27.5666	0	37.5796	168.806	38.3088	0	0	273.751	0	24.8982	80.6994	148.36	20.6372	216.013	266.643	9.3674	56.1605	0	0	126.668	99.02	107.088	0	0	2.91426	0	17.2148	0	186.272	225.641	256.423	46.9469	161.874	281.709	70.3999	5.35633	194.307	0	90.7932	269.261	178.3	144.58	63.1273	0	462.597	0	27.6554	0	0	11.4693	261.97	30.0438	0	0	5.60261	36.0355	116.658	0	37.7525	3.20543	176.948
"PWY-7384: anaerobic energy metabolism (invertebrates, mitochondrial)"	0	0	0	0	0	0	3.05175	0	0	0	0	0	0	16.4728	0	0	0	0	0	0	0	0	3.78927	0	0	0	4.50324	13.4997	17.8025	0	53.7234	21.9611	0	0	0	58.363	0	0	0	0	21.2905	9.41583	23.2189	0	48.6183	37.6019	0	0	0	0	0	0	9.6469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.38431
"PWY-7385: 1,3-propanediol biosynthesis (engineered)"	0	0	1.0494	0	0	164.963	6.22429	0	0	0	0	0	0	26.2693	5.27462	0	0	0	0	0	62.3252	0	0	0	0	0	5.8019	21.0903	14.5286	0	14.2962	0	0	0	0	0	0	39.3869	0	0	3.33884	0	8.84514	19.2106	0	0	0	85.4369	0	0	0	68.4036	0	0	0	0	0	0	0	0	0	0	51.4874	0	0	0	88.587	0	0	0	0	48.6501
"PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)"	0	0	28.2821	0	226.194	223.786	118.846	138.761	269.294	0	4.99959	191.632	0	189.296	211.12	213.858	0	0	221.781	0	59.4181	136.033	44.5898	288.782	127.658	175.459	271.841	221.993	304.13	0	315.094	210.9	174.75	0	177.248	496.702	104.152	379.869	0	6.3176	218.05	42.5043	137.488	108.324	177.816	213.242	50.2381	102.633	0	83.943	0	170.454	235.688	138.752	0	115.083	0	17.7064	0	23.4838	111.409	248.84	296.327	8.50209	0	149.197	350.982	34.2608	0	85.0911	235.457	100.837
PWY-7389: superpathway of anaerobic energy metabolism (invertebrates)	0	0	0	0	0	0	4.75702	0	0	0	0	0	0	21.5056	0	0	0	0	0	0	0	0	0	0	0	0	0	19.4741	0	0	64.935	17.7238	0	0	0	3.42553	0	0	0	0	31.3026	10.7865	22.3355	0	66.2334	29.5076	0	0	0	0	0	0	14.695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.21756
PWY-7391: isoprene biosynthesis II (engineered)	0	93.9795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.3445	0	0	0	0	0	0	0	0	0	0	0	0	0	5.15547	30.1019	65.033	0	0	0	35.7353	0	0	0	0	0	8.67081	51.0425	0	0	0	64.8603	0	0	362.203	0	0	83.7952	0	0	0	0	0	0	0	0	0	0	0	0	0	36.3848
PWY-7392: taxadiene biosynthesis (engineered)	0	0	3.98492	0	0	152.924	18.4644	120.636	230.86	0	18.6253	174.024	0	158.364	125.918	126.674	0	0	0	9.4507	0	222.998	106.981	141.128	87.4181	17.1808	310.527	106.536	0	0	108.031	8.17531	149.167	0	217.145	169.934	0	106.145	0	0	184.804	142.861	29.5655	27.7963	209.036	123.181	9.07623	71.2915	0	76.7673	49.3199	105.621	109.26	210.245	0	7.98655	0	24.4036	0	13.027	234.414	38.7446	0	0	28.9219	180.267	1.94425	0	0	145.868	161.593	172.903
PWY-7399: methylphosphonate degradation II	0	0	0	0	0	0	2.29005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.02405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	0	258.555	600.013	0	0	0	248.624	98.6388	13.6257	0	94.5193	199.415	0	165.494	257.729	18.1449	254.46	86.9158	329.596	0	27.4592	139.448	247.617	32.0635	247.099	139.886	137.931	187.538	219.446	0	242.242	405.808	184.685	258.482	83.0263	369.253	237.331	292.599	0	266.499	256.428	254.954	631.178	13.1786	313.999	395.363	23.2174	104.467	0	226.91	403.84	262.028	205.011	224.172	113.407	285.589	0	262.492	0	12.8619	171.663	91.1073	252.044	113.88	344.284	191.975	389.752	245.515	0	135.924	86.6698	256.596
"PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)"	0	0	0	0	0	0	0	0	0	0	0	0	0	4.75182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.6823	0	0	0	0	0	0	0	0	0	0	0	1.28317	0	0	0	0	0	0	0	0	0	0	26.849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.6894	0	0	0	0	14.4878
PWY-7411: phosphatidate biosynthesis (yeast)	254.542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.485	0	0	0	1.47476	0	0	0	0	0	0	0	0	0	0	43.3214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.3498
PWY-7420: monoacylglycerol metabolism (yeast)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.6391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.0268
PWY-7431: aromatic biogenic amine degradation (bacteria)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.22342	0	0	0	0	0	0	0	0	0	0	5.32351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.1631
PWY-7446: sulfoquinovose degradation I	0	0	0	0	0	0	4.97253	0	0	0	0	0	0	5.47726	0	0	0	0	0	0	0	0	0	0	0	0	0	13.5566	30.5098	0	12.3798	0	0	0	0	0	0	26.8777	0	0	0	0	5.29886	0	12.9465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.8515	0	0	0	22.7562	0	0	0	0	0
"PWY-7456: &beta;-(1,4)-mannan degradation"	0	0	150.626	0	0	0	44.9905	93.5581	90.877	0	0	114.547	0	71.9202	94.5564	0	0	0	51.2646	0	0	38.3149	0	88.889	64.7643	13.5009	15.9222	83.0575	93.3829	0	88.2461	0	33.6207	0	15.4728	0	0	133.043	0	0	32.7814	81.2941	0	0	45.3975	1.63564	31.3269	0	0	0	0	0	70.8445	138.773	0	33.024	0	0	0	14.117	40.0099	0	189.393	4.61296	0	109.268	99.5842	92.206	0	35.7727	3.29133	0
PWY-7511: protein ubiquitination	433.064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.6201	0	0	0	4.48029	0	0	17.802	0	0	3.31133	52.3633	0	0	0	206.497	0	0	0	0	270.344	0	0	0	0	1.49171	0	0	0	0	0	0	0	0	0	101.589
PWY-7528: L-methionine salvage cycle I (bacteria and plants)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	0	212.088	2.02555	187.892	0	166.567	197.536	308.766	408.321	0	34.4436	317.902	0	280.894	265.853	448.039	85.198	634.772	330.868	533.112	14.1101	457.807	114.911	373.565	236.103	398.373	421.465	207.608	265.793	0	201.482	171.268	317.477	0	383.461	290.05	0	307.849	386.999	268.049	224.927	269.757	93.5663	66.4471	227.184	116.711	510.769	74.2542	520.064	302.409	16.3115	55.8037	266.283	292.158	154.129	232.042	0	658.721	0	32.8912	361.308	146.367	261.417	393.06	0	354.436	181.975	251.652	0	361.625	388.23	275.476
PWY-7546: diphthamide biosynthesis II (eukaryotes)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.8811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.01212
PWY-7560: methylerythritol phosphate pathway II	0	0	431.229	367.964	0	167.019	58.4224	177.379	264.354	0	14.0795	330.427	0	290.615	165.626	143.263	0	0	371.955	486.146	245.015	363.72	283.258	164.092	149.223	20.2111	367.367	271.827	263.38	0	238.415	9.57197	293.704	0	275.35	311.533	0	321.736	368.232	14.3018	231.042	327.635	88.7812	104.075	340.429	156.771	468.946	110.289	481.094	93.6484	172.585	226.925	239.602	352.426	3.71809	9.35644	0	14.7263	0	468.188	348.585	292.863	311.489	332.422	115.229	320.022	323.204	0	0	219.072	187.201	446.209
"PWY-7592: arachidonate biosynthesis III (6-desaturase, mammals)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.93498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.05593
"PWY-7606: docosahexaenoate biosynthesis III (6-desaturase, mammals)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.73736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4584
PWY-7616: methanol oxidation to carbon dioxide	0	0	0	0	0	0	2.34127	0	0	0	0	0	0	2.32974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.4229	0	6.03734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.69872	0	0	0	0	0	0	0	0	0	0	0	0	0	14.2962	0	0	0	0	0
PWY-7619: juniperonate biosynthesis	234.673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.5842	0	0	0	0	0	0	61.0392	0	0	9.76999	109.089	0	0	0	14.078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.32383
PWY-7663: gondoate biosynthesis (anaerobic)	155.87	420.206	30.0468	135.394	365.19	206.718	305.332	421.069	297.367	0	110.078	431.642	0	450.208	428.328	234.09	315.356	14.0833	446.819	615.502	323.467	488.673	136.75	412.198	426.681	533.809	442.537	363.851	360.362	724.866	355.835	405.934	409.855	0	674.227	622.621	62.1206	363.637	615.497	484.911	268.702	424.052	173.722	129.172	443.999	231.963	605.083	188.127	607.875	458.535	17.655	126.54	339.728	372.592	701.252	307.694	117.642	566.039	422.422	510.974	408.397	437.328	406.262	315.976	0	394.985	334.266	395.731	0	431.058	231.697	258.535
PWY-7664: oleate biosynthesis IV (anaerobic)	155.87	0	2.9786	0	218.98	199.117	115.352	137.731	247.039	0	4.92077	184.984	0	187.501	207.343	192.323	0	0	218.25	0	59.4637	135.458	42.3193	275.909	126.724	172.396	253.838	220.659	292.312	0	321.631	204.091	170.086	0	177.683	505.728	54.1939	344.403	0	6.34106	216.228	42.2854	113.484	117.588	175.367	178.55	50.2952	169.318	0	83.298	0	103.304	226.688	132.922	0	112.167	117.642	17.7389	0	23.4456	110.012	246.314	294.97	8.47735	0	143.211	229.932	33.8975	0	84.0385	207.784	103.943
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	0	0	0	0	0	0	17.1044	0	0	0	0	0	0	17.7391	4.79472	0	113.46	171.07	0	0	0	0	0	0	0	0	0	28.1828	48.257	0	75.5736	0	0	0	0	43.4045	64.1426	79.3926	0	0	41.259	0	14.9884	0	28.7388	7.60727	0	0	0	0	0	78.4828	49.5195	0	0	0	0	0	0	0	0	8.27271	53.1983	0	0	0	83.7968	0	0	0	0	48.1402
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	0	351.711	48.0455	0	0	255.979	364.678	245.492	80.5092	0	664.369	355.39	0	317.172	374.314	134.439	288.89	747.852	390.988	0	110.067	349.343	369.475	189.396	400.031	382.639	353.182	301.789	244.117	537.623	219.149	479.96	357.37	248.688	314.939	346.413	628.904	329.438	0	44.3096	444.808	364.076	205.878	202.462	421.125	347.2	215.685	204.396	36.9282	358.352	513.427	372.826	298.203	352.752	719.652	449.129	0	851.317	341.67	68.4364	420.893	713.996	302.865	197.153	0	347.923	201.91	386.466	0	296.734	284.917	568.56
PWY-922: mevalonate pathway I (eukaryotes and bacteria)	19.2873	150.706	0	0	0	0	0	0	0	0	62.2477	0	0	0	0	0	39.1143	0	0	0	33.7331	0	55.0786	0	0	0	0	0	0	0	1.55555	0	0	0	9.25216	53.9576	90.3516	0	0	0	94.5096	0	3.81843	65.7576	0	30.419	17.2942	81.5997	0	0	0	100.387	0	0	455.771	0	0	91.3456	0	0	0	188.117	0	0	0	0	0	0	0	0	0	60.9624
PWY0-1061: superpathway of L-alanine biosynthesis	0	2.29159	4.32531	0	0	0	7.60794	0	0	0	0	0	0	28.7675	12.6694	0	114.333	0	0	0	0	0	0	35.985	0	0	0	16.6505	62.9772	535.444	34.8091	5.83568	0	0	0	20.0125	0	69.863	0	0	0	2.94604	13.0249	0	40.7991	12.736	0	0	0	4.20933	0	0	0	0	0	0	0	0	314.166	0	0	0	26.4719	0	0	0	25.9015	0	0	0	0	6.91335
